供应商编号,供应商信息版本号,设定日期和时间,供应商名,供应商地址,供应商电话
S00001,01,2019-05-07 22:08:25.000,保洁日用,哈尔滨道里湘江路国庆大厦36号,18948566268
S00001,02,2020-05-08 22:08:25.001,保洁日化,哈尔滨道里湘江路国庆大厦40号,18948566268
S00001,03,2021-05-09 22:08:25.002,保洁,哈尔滨道里湘江路国庆大厦41号,18948566200
S00002,01,2019-05-09 22:08:25.003,捷成食品,黑龙江伊春,13674583486
S00003,01,2019-05-09 22:08:25.004,洗发香水,广州的新路36号,18904588666
S00004,01,2019-05-09 22:08:25.005,广州佳美,山东省烟台市新桥大厦6号,13674589874
S00005,01,2019-05-09 22:08:25.006,姐妹洗发,上海,18804588666
S00006,01,2019-05-09 22:08:25.007,宝洁日化,广州,14785236921
S00007,01,2019-05-09 22:08:25.008,季吉乐,深圳市建设镇568号,18475569555
S00008,01,2019-05-09 22:08:25.009,金丽人日化,上海,18804588655
S00009,01,2019-05-09 22:08:25.010,锦亭洗发水,山东,18892555855
S00010,01,2019-05-09 22:08:25.011,姜汁护法,黑河市人民路95号,12855645155
S00011,01,2019-05-09 22:08:25.012,佰草集,广东,14785236988
S00012,01,2019-05-09 22:08:25.013,ZA日化,杭州市西湖路楼外楼,17458987788
S00013,01,2019-05-09 22:08:25.014,兰蔻日化,深圳,15874589658
S00014,01,2019-05-09 22:08:25.015,佳佳日杂,上海,14587965888
S00015,01,2019-05-09 22:08:25.016,佳佳日杂,海南,15896547858
S00016,01,2019-05-09 22:08:25.017,安荣日杂,河北市向阳路瑞峰镇3组12号,15896987458
S00017,01,2019-05-09 22:08:25.018,海涵食品,辽宁,15465987458
S00018,01,2019-05-09 22:08:25.019,日本食品,沈阳,15858858588
S00019,01,2019-05-09 22:08:25.020,美国食品,温州,14895896555
S00020,01,2019-05-09 22:08:25.021,欧洲日杂,大连市旅顺口区,12589652256
